Past/Present,Repository Name,Repository Link,No. Total Commits,Lifetime in days,No. Commits since 1st unittest occurrence,No. Commits since 1st pytest occurrence,Days since 1st unittest occurrence,Days since 1st pytest occurrence,Days since 1st pytest to last unittest occurrence,No. Authors (name),No. Migration Authors (name),No. Authors (email),No. Migration Authors (email),No. Authors (email - name),No. Migration commits,One Commit Migration?,No. Files (current state),No. Files with unittest,No. Files with pytest,No. Files with both,Pytest before Unittest?,1st commit UNITTEST,1st commit UNITTEST_LINK,1st commit PYTEST,1st commit PYTEST_LINK,Last commit UNITTEST,Last commit UNITTEST_LINK,Last commit PYTEST,Last commit PYTEST_LINK,1st migration commit,1st migration commit link,Last migration commit,Last migration commit link
u => u,zentral,https://github.com/zentralopensource/zentral,1286,2139,1286,0,2139,0,,17,0,20,0,3,0,FALSE,1144,2,0,0,FALSE,9cc3494e54da16a125b8eb41ae8b675d3c3532b3,https://github.com/zentralopensource/zentral/commit/9cc3494e54da16a125b8eb41ae8b675d3c3532b3,,,bb769bff44f553bff12313204210041c9a211ef8,https://github.com/zentralopensource/zentral/commit/bb769bff44f553bff12313204210041c9a211ef8,,,,,,
u => u,FrEIA,https://github.com/VLL-HD/FrEIA,198,1096,174,0,551,0,,16,0,17,0,1,0,FALSE,168,7,0,0,FALSE,8f43a24e06f2698577be6369e0a9109075749ce4,https://github.com/VLL-HD/FrEIA/commit/8f43a24e06f2698577be6369e0a9109075749ce4,,,cc2c8bfed69dddcb6f50ee071706d7e8d7185a03,https://github.com/VLL-HD/FrEIA/commit/cc2c8bfed69dddcb6f50ee071706d7e8d7185a03,,,,,,
u => u,pycodestyle,https://github.com/PyCQA/pycodestyle,1004,5455,512,0,3111,0,,129,0,129,0,0,0,FALSE,91,8,0,0,FALSE,f9609fb02cc09926cbc849053840b9c4f61694f2,https://github.com/PyCQA/pycodestyle/commit/f9609fb02cc09926cbc849053840b9c4f61694f2,,,8e7b671e34e6ed5dd2d4bf1c98459b542ee5a396,https://github.com/PyCQA/pycodestyle/commit/8e7b671e34e6ed5dd2d4bf1c98459b542ee5a396,,,,,,
u => u,pyfpdf,https://github.com/reingart/pyfpdf,385,4812,115,0,2440,0,,23,0,22,0,-1,0,FALSE,237,28,0,0,FALSE,028ee079309c520c911ecef4d15a90e79357c928,https://github.com/reingart/pyfpdf/commit/028ee079309c520c911ecef4d15a90e79357c928,,,,,,,,,,
u => p + u,audio,https://github.com/pytorch/audio,989,1586,978,884,1492,775,-766,138,2,151,2,13,6,FALSE,446,98,7,3,FALSE,3433b9b69e1858becbe7309faaf198ec26b0d33f,https://github.com/pytorch/audio/commit/3433b9b69e1858becbe7309faaf198ec26b0d33f,2271a7ae86d92d2a8f2ac69c6c7db3fb15b0f408,https://github.com/pytorch/audio/commit/2271a7ae86d92d2a8f2ac69c6c7db3fb15b0f408,595b37b665db6b419969c59624ec15be15ff716c,https://github.com/pytorch/audio/commit/595b37b665db6b419969c59624ec15be15ff716c,e14a2e0ce72034068b69657e0936df3c80673853,https://github.com/pytorch/audio/commit/e14a2e0ce72034068b69657e0936df3c80673853,909e445b8fc3ecd6692ed0628344a3b9d956d026,https://github.com/pytorch/audio/commit/909e445b8fc3ecd6692ed0628344a3b9d956d026,be442561a538b1ecc73394eeba610c8a7e2b7f4a,https://github.com/pytorch/audio/commit/be442561a538b1ecc73394eeba610c8a7e2b7f4a
u => p + u,crosswind,https://github.com/ryanwersal/crosswind,379,4489,369,60,4486,700,-25,13,1,13,1,0,3,FALSE,326,6,107,0,FALSE,bcbcaacddb9e1a5bfa322e480a44c2cf37de4c19,https://github.com/ryanwersal/crosswind/commit/bcbcaacddb9e1a5bfa322e480a44c2cf37de4c19,8de5643ae1181c56413718c6527c275c3712361b,https://github.com/ryanwersal/crosswind/commit/8de5643ae1181c56413718c6527c275c3712361b,b288499100f36bb18e19de2db6172d84851ca64f,https://github.com/ryanwersal/crosswind/commit/b288499100f36bb18e19de2db6172d84851ca64f,eac8c2a0a9bf4673a2506c92cd455058ff56be87,https://github.com/ryanwersal/crosswind/commit/eac8c2a0a9bf4673a2506c92cd455058ff56be87,15ca4cb3f08b22a94e6f8cb2b05087b2b4af511a,https://github.com/ryanwersal/crosswind/commit/15ca4cb3f08b22a94e6f8cb2b05087b2b4af511a,b288499100f36bb18e19de2db6172d84851ca64f,https://github.com/ryanwersal/crosswind/commit/b288499100f36bb18e19de2db6172d84851ca64f
u => p + u,blueoil,https://github.com/blue-oil/blueoil,1288,1055,1288,1288,1055,1055,-642,61,0,67,0,6,0,FALSE,790,16,48,0,FALSE,acb5a270f201f34fe5a5b27a4b395d9c3a838b27,https://github.com/blue-oil/blueoil/commit/acb5a270f201f34fe5a5b27a4b395d9c3a838b27,acb5a270f201f34fe5a5b27a4b395d9c3a838b27,https://github.com/blue-oil/blueoil/commit/acb5a270f201f34fe5a5b27a4b395d9c3a838b27,cecc4444074359888d2a62bc4c914b1c253dd039,https://github.com/blue-oil/blueoil/commit/cecc4444074359888d2a62bc4c914b1c253dd039,a6a622d8baf03ca2a0c11f1bb9d73d5704bf49d4,https://github.com/blue-oil/blueoil/commit/a6a622d8baf03ca2a0c11f1bb9d73d5704bf49d4,,,,
u => p,termgraph,https://github.com/sgeisler/termgraph,22,1697,18,18,1681,1681,-1470,3,1,4,1,1,1,FALSE,39,0,2,0,FALSE,fc33ff1d5649e1d1daecddc444334ae8725ce065,https://github.com/sgeisler/termgraph/commit/fc33ff1d5649e1d1daecddc444334ae8725ce065,fc33ff1d5649e1d1daecddc444334ae8725ce065,https://github.com/sgeisler/termgraph/commit/fc33ff1d5649e1d1daecddc444334ae8725ce065,d5665248b7d596cabe0a52eb8ab7b639e0847c51,https://github.com/sgeisler/termgraph/commit/d5665248b7d596cabe0a52eb8ab7b639e0847c51,24b087658bd8ddd510222e9dd8d56190d2324796,https://github.com/sgeisler/termgraph/commit/24b087658bd8ddd510222e9dd8d56190d2324796,d5665248b7d596cabe0a52eb8ab7b639e0847c51,https://github.com/sgeisler/termgraph/commit/d5665248b7d596cabe0a52eb8ab7b639e0847c51,d5665248b7d596cabe0a52eb8ab7b639e0847c51,https://github.com/sgeisler/termgraph/commit/d5665248b7d596cabe0a52eb8ab7b639e0847c51
u => p,pyvim,https://github.com/prompt-toolkit/pyvim,151,2417,149,50,2326,2321,0,13,1,12,1,-1,1,TRUE,69,0,2,0,FALSE,df716092f90f6d6f99945a6ab95fd7953c850c38,https://github.com/prompt-toolkit/pyvim/commit/df716092f90f6d6f99945a6ab95fd7953c850c38,7e1c7bfb505cefba46868b92e29cee4a0c25c252,https://github.com/prompt-toolkit/pyvim/commit/7e1c7bfb505cefba46868b92e29cee4a0c25c252,7e1c7bfb505cefba46868b92e29cee4a0c25c252,https://github.com/prompt-toolkit/pyvim/commit/7e1c7bfb505cefba46868b92e29cee4a0c25c252,3f4dcd4111519c1c5b25724b50c0fa2a84479a09,https://github.com/prompt-toolkit/pyvim/commit/3f4dcd4111519c1c5b25724b50c0fa2a84479a09,7e1c7bfb505cefba46868b92e29cee4a0c25c252,https://github.com/prompt-toolkit/pyvim/commit/7e1c7bfb505cefba46868b92e29cee4a0c25c252,7e1c7bfb505cefba46868b92e29cee4a0c25c252,https://github.com/prompt-toolkit/pyvim/commit/7e1c7bfb505cefba46868b92e29cee4a0c25c252
u => p,vak,https://github.com/NickleDave/vak,2056,1554,2012,1757,1413,1033,-840,5,1,5,2,0,8,FALSE,237,0,39,0,FALSE,000e3c9c25a56f7ecff5463859aaf0bc3835f3b3,https://github.com/NickleDave/vak/commit/000e3c9c25a56f7ecff5463859aaf0bc3835f3b3,cdadd0070eb7162ed5ffcecf2b97105cf8c58c0f,https://github.com/NickleDave/vak/commit/cdadd0070eb7162ed5ffcecf2b97105cf8c58c0f,7091c1617926cf61504ed945625752fe15485719,https://github.com/NickleDave/vak/commit/7091c1617926cf61504ed945625752fe15485719,7ced6e6de0ad030a740ee406d17cd5419afceec3,https://github.com/NickleDave/vak/commit/7ced6e6de0ad030a740ee406d17cd5419afceec3,1fa42e5d0433f44b942f365a526fe519978b38d6,https://github.com/NickleDave/vak/commit/1fa42e5d0433f44b942f365a526fe519978b38d6,4f9f7bc9842657f29778c7644fb0f0e555fab31a,https://github.com/NickleDave/vak/commit/4f9f7bc9842657f29778c7644fb0f0e555fab31a
