Link,Selected?,Easier syntax (A),Interoperability (A),Easier maintenance (A),Cleaner reports (A),Popularity (A),Parametrized tests (A),Plugin integration (A),Fixture flexibility/reuse (A),Easy debug (A),Built-in features (A),Flexibility (A),Modularity (A),Easy to add tests (A),Robustness (A),Reduce test time (A),More fun (A),Better compatibility with newer versions of Python (A),Easie execution (A),Easier maintainability (A),New tool to learn (D),Implicit mechanics (D),Multiple test styles (D),Migration duration (D),More difficult for non-developers (D),Harder implementation (D),Bad complex types assertion (D),Extra package (D),Unittest doesn't support pytest features (D)
https://github.com/cookiecutter/cookiecutter/issues/256,1,,1,1,1,,,,1,,1,,,,,,,,,,1,1,1,,,,,,
https://github.com/pandas-dev/pandas/issues/15990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/pallets/jinja/issues/424,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,
https://github.com/BCDA-APS/apstools/issues/447,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
https://github.com/bpepple/metron/issues/75,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
https://github.com/vliz-be-opsci/pysubyt/issues/15,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/iterative/dvc/issues/1819,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
https://github.com/ioos/compliance-checker/issues/874,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1
https://github.com/django-json-api/django-rest-framework-json-api/issues/468,1,1,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,
https://github.com/home-assistant/core/issues/40855,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/pschanely/CrossHair/issues/53,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
https://github.com/archlinux/archweb/issues/113,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
https://github.com/johnwmillr/LyricsGenius/issues/205,1,,1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,
https://github.com/architecture-building-systems/CityEnergyAnalyst/issues/2934,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
https://github.com/DataBiosphere/toil/issues/3489,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/home-assistant/core/issues/40850,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/home-assistant/core/issues/40842,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/home-assistant/core/issues/40888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/home-assistant/core/issues/40907,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/zappa-dev/Zappa/issues/4,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/garciparedes/jinete/issues/75,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
https://github.com/jazzband/django-redis/issues/521,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
https://github.com/lovasoa/marshmallow_dataclass/issues/56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/ReviewNB/treon/issues/2,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,
https://github.com/bytecodealliance/wasmtime-py/issues/15,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/home-assistant/core/issues/40857,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/nikochiko/df-wizard-chess/issues/5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/dolosse/dolosse/issues/122,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
https://github.com/naorlivne/parse_it/issues/6,1,1,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,
https://github.com/broadinstitute/cromwell-tools/issues/24,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
https://github.com/equinor/configsuite/issues/131,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/acntech/fruit-classifier/issues/33,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
https://github.com/pywinauto/pywinauto/issues/306,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,
https://github.com/SciTools/iris-grib/issues/253,1,1,1,,,1,1,1,,,1,,,,,,,,,,1,1,,,,,1,,
https://github.com/JeffSpies/benchmark/issues/3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
